32,-53,27,14.530951,1
37,-52,65,10.614103,1
45,-50,38,6.689319,1
16,-59,35,16.933462,1
34,-53,60,8.811567,1
47,-50,65,13.352938,1
20,-57,53,17.515447,1
62,-47,33,14.84363,1
21,-57,56,14.167617,1
14,-60,57,11.486863,1
15,-60,60,16.365466,1
40,-51,38,3.638432,1
4,-63,21,15.099512,1
35,-53,62,12.705023,1
17,-59,52,8.07492,1
27,-55,65,16.62495,1
78,-44,40,0.255045,1
13,-60,23,21.715908,1
11,-61,33,16.027535,1
7,-62,35,7.055075,1
1,-64,19,14.252502,1
22,-57,58,13.0673,1
8,-62,50,3.427983,1
26,-55,31,13.588319,1
31,-54,57,13.076197,1
23,-57,67,18.590713,1
63,-47,44,15.001037,1
58,-48,24,18.855496,1
33,-53,49,15.856024,1
59,-48,39,15.425475,1
3,-63,20,14.929599,1
5,-63,29,10.123368,1
18,-59,54,16.148046,1
