2,-63,13,15.20922,3
10,-61,10,14.980478,3
126,-32,0,16.806672,3
49,-49,-7,15.501016,3
95,-39,-3,-0.226409,3
71,-45,-10,5.920527,3
64,-46,-8,7.246099,3
30,-54,9,15.87411,3
151,-23,-13,14.380375,3
48,-49,-14,12.916919,3
156,-21,-13,14.078645,3
100,-38,-20,19.255294,3
148,-25,-8,15.070328,3
145,-26,-19,21.407085,3
55,-48,-4,13.776411,3
158,-21,-2,8.886429,3
140,-28,-8,15.806927,3
110,-36,-12,14.799967,3
135,-30,4,12.260151,3
152,-23,-9,16.647596,3
66,-46,5,16.341896,3
131,-31,5,21.658741,3
134,-30,-21,9.436585,3
56,-48,7,4.116049,3
80,-43,6,3.999254,3
36,-52,3,12.899556,3
38,-51,-14,15.536371,3
123,-33,1,12.938519,3
73,-45,8,11.591198,3
149,-24,-6,10.790897,3
9,-61,-16,2.30047,3
43,-50,-22,16.20292,3
130,-31,-9,12.271475,3
157,-21,-5,6.56836,3
136,-29,-9,1.280942,3
12,-60,-15,8.079704,3
39,-51,18,14.73583,3
87,-41,-1,6.208772,3
65,-46,-7,15.97185,3
153,-23,-3,8.479397,3
44,-50,-20,12.146685,3
6,-62,15,10.038458,3
0,-64,8,22.0,3
146,-26,-8,12.400683,3
77,-44,-14,13.93234,3
115,-35,-1,17.376221,3
104,-37,3,16.845787,3
28,-54,-4,18.505746,3
57,-48,9,8.519213,3
54,-48,-19,1.041932,3
61,-47,19,14.606953,3
74,-45,16,9.613316,3
94,-39,-20,15.308895,3
29,-54,7,19.75749,3
72,-45,-9,9.715677,3
83,-42,-10,9.570188,3
111,-36,3,5.39179,3
76,-44,-17,17.000749,3
137,-29,2,10.273764,3
67,-46,13,18.350601,3
25,-55,10,4.892337,3
90,-40,-8,6.837926,3
86,-41,-19,0.268582,3
19,-58,7,5.608355,3
84,-42,-3,16.145288,3
119,-34,-20,15.860908,3
