32,-59,-16,0,3
51,-52,-26,0,3
38,-56,-11,0,3
44,-55,15,0,3
59,-49,28,0,3
72,-45,27,0,3
54,-51,-1,0,3
96,-32,38,0,3
23,-61,39,0,2
1,-65,-33,0,2
12,-63,35,0,2
13,-62,-36,0,2
24,-60,-39,0,2
8,-63,-33,0,2
25,-60,-35,0,2
17,-62,31,0,2
9,-63,-28,0,2
7,-64,22,0,2
30,-59,-29,0,2
40,-55,-34,0,2
14,-62,-15,0,2
49,-52,-36,0,2
19,-61,-16,0,2
53,-51,-33,0,2
50,-52,-30,0,2
26,-60,-7,0,2
65,-46,-39,0,2
37,-56,-20,0,2
48,-53,23,0,2
42,-55,-17,0,2
67,-46,32,0,2
68,-45,-32,0,2
52,-52,-17,0,2
56,-50,20,0,2
60,-48,-20,0,2
93,-33,37,0,2
98,-31,34,0,2
70,-45,-19,0,2
117,-23,37,0,2
77,-41,12,0,2
80,-40,9,0,2
110,-27,30,0,2
